Time,CPU (%),Memory (%),Disk (%)
13:19:17,1.0,66.0,87.9
13:19:18,0.5,66.0,87.9
13:19:19,1.0,66.0,87.9
13:19:20,1.0,66.0,87.9
13:19:21,0.5,66.0,87.9
13:19:22,1.0,66.0,87.9
13:19:23,1.0,66.0,87.9
13:19:24,0.0,66.0,87.9
13:19:25,0.5,66.0,87.9
13:19:26,1.0,66.0,87.9
13:19:27,0.5,66.0,87.9
13:19:28,0.5,66.0,87.9
13:19:29,0.5,66.0,87.9
13:19:30,0.5,66.0,87.9
13:19:31,0.5,66.0,87.9
13:19:32,0.5,66.0,87.9
13:19:33,0.5,66.0,87.9
13:19:34,0.5,66.0,87.9
13:19:35,0.5,66.0,87.9
13:19:36,1.0,66.0,87.9
13:19:37,0.5,66.0,87.9
13:19:38,0.5,66.0,87.9
13:19:39,0.5,66.0,87.9
